"","date","rh","temperature"
"565",2019-09-05 07:57:48,54.8,24.7
"566",2019-09-05 07:57:50,54.8,24.7
"567",2019-09-05 07:57:53,54.8,24.7
"568",2019-09-05 07:57:55,54.8,24.7
"569",2019-09-05 07:57:58,54.8,24.7
"570",2019-09-05 07:58:00,54.8,24.7
"571",2019-09-05 07:58:03,54.8,24.7
"572",2019-09-05 07:58:05,54.8,24.7
"573",2019-09-05 07:58:08,54.8,24.7
"574",2019-09-05 07:58:10,54.8,24.8
"575",2019-09-05 07:58:13,54.7,24.7
"576",2019-09-05 07:58:15,54.8,24.7
"577",2019-09-05 07:58:18,54.8,24.7
"578",2019-09-05 07:58:23,54.7,24.7
"579",2019-09-05 07:58:26,54.8,24.7
"580",2019-09-05 07:58:28,54.8,24.7
"581",2019-09-05 07:58:31,54.7,24.7
"582",2019-09-05 07:58:33,54.7,24.7
"583",2019-09-05 07:58:36,54.7,24.7
"584",2019-09-05 07:58:41,54.8,24.8
"585",2019-09-05 07:58:43,54.8,24.7
"586",2019-09-05 07:58:46,54.7,24.7
"587",2019-09-05 07:58:48,54.7,24.7
"588",2019-09-05 07:58:51,54.7,24.7
"589",2019-09-05 07:58:53,54.8,24.8
"590",2019-09-05 07:58:56,54.7,24.7
"591",2019-09-05 07:58:58,54.8,24.7
"592",2019-09-05 07:59:01,54.8,24.7
"593",2019-09-05 07:59:03,54.8,24.7
